Name,Year,Location,Coordinates
""Experiencias compartidas: VisiÃ³n de gÃ©nero"","2000","Nuevo LeÃ³n, Mexico","(23.0, -102.0)"
""F.Y.E!" (2000) {International Female Model Competition in","ruba","Aruba","(12.4902998, -69.9609842)"
""Fabrixx"","2000","(studio) (2002-2004)","(52.2326368, 21.0067376)"
""Fat Friends"","2000","Leeds, West Yorkshire, England, UK","(53.7974185, -1.5437941)"
""Filmoteca: Temas de Cine"","2000","Buenos Aires, Federal District, Argentina","(-34.61315, -58.37723)"
""Floyd Around the Med"","2000","Barcelona, Catalonia, Spain","(41.3828939, 2.1774322)"
""Food Finds" (2000) {San","rancisco","San Francisco, California, USA","(37.7790262, -122.419906)"
""Fort Boyard 2000"","2000","Fort Boyard, Charente-Maritime, France","(45.9996353, -1.2139129)"
""Fox Kids Weekend"","2000","Fox Kids Building, Media Park, Hilversum, North Holland, Netherlands","(52.23611, 5.17276)"
""FreakyLinks" (2000) {Subject: Coelacanth This!","#1.4)","Los Angeles, California, USA","(34.0536909, -118.242766)"
""FreakyLinks" (2000) {Subject: Police Siren","#1.12)","Los Angeles, California, USA","(34.0536909, -118.242766)"
""FreakyLinks" (2000) {Subject: Three Thirteen","#1.2)","Los Angeles, California, USA","(34.0536909, -118.242766)"
""Fugitivos" (2000)","(#1.11)","Buenos Aires, Federal District, Argentina","(-34.61315, -58.37723)"
""Fugitivos" (2000)","(#1.17)","Buenos Aires, Federal District, Argentina","(-34.61315, -58.37723)"
""Fugitivos" (2000)","(#1.5)","Buenos Aires, Federal District, Argentina","(-34.61315, -58.37723)"
""Fugitivos" (2000)","(2000-06-25)","Buenos Aires, Federal District, Argentina","(-34.61315, -58.37723)"
""FÃ¸degangen"","2000","Hvidovre Hospital, Hvidovre, SjÃ¦lland, Denmark","(56.0, 10.0)"
""G String Divas"","2000","Bristol, Pennsylvania, USA","(40.1229002, -74.8644706)"
""GeisterjÃ¤ger John Sinclair" (2000) {Das Horrorkabinett","#1.2)","Nepomuk, Czech Republic","(49.4858939, 13.5823174)"
""Get Your Kit Off"","2000","Soho, London, England, UK","(51.5131628, -0.1311754)"
""Gilmore Girls"","2000","French Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls"","2000","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {'S Wonderful, 'S Marvelous","#7.4)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {A Deep Fried Korean Thanksgiving","#3.9)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {A House Is Not a Home","#5.22)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {A Messenger, Nothing More","#5.2)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {A Vineyard Valentine","#6.15)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {A-Tisket, A-Tasket","#2.13)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Always a Godmother, Never a God","#6.4)","Burbank, California, USA","(34.1816482, -118.3258554)"
""Gilmore Girls" (2000) {An Affair to Remember","#4.6)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Application Anxiety","#3.3)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Ballrooms and Biscotti","#4.1)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Blame Booze and Melville","#5.21)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Bon Voyage","#7.22)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {But I'm a Gilmore!","#5.19)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {But Not as Cute as Pushkin","#5.10)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Christopher Returns","#1.15)","Los Angeles, California, USA","(34.0536909, -118.242766)"
""Gilmore Girls" (2000) {Cinnamon's Wake","#1.5)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Concert Interruptus","#1.13)","Los Angeles, California, USA","(34.0536909, -118.242766)"
""Gilmore Girls" (2000) {Dead Uncles and Vegetables","#2.17)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Die, Jerk","#4.8)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Double Date","#1.12)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Eight O'Clock at the Oasis","#3.5)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Emily Says Hello","#5.9)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Face-Off","#3.15)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Farewell, My Pet","#7.14)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Forgiveness and Stuff","#1.10)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {French Twist","#7.7)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Gilmore Girls Only","#7.17)","Los Angeles, California, USA","(34.0536909, -118.242766)"
""Gilmore Girls" (2000) {Girls in Bikinis, Boys Doin' the Twist","#4.17)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Go, Bulldogs!","#7.6)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Hammers and Veils","#2.2)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Haunted Leg","#3.2)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Hay Bale Maze","#7.18)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Help Wanted","#2.20)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Here Comes the Son","#3.21)","Santa Monica, California, USA","(34.0194704, -118.4912273)"
""Gilmore Girls" (2000) {How Many Kropogs to Cape Cod?","#5.20)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {I Can't Get Started","#2.22)","Thousand Oaks, California, USA","(34.1705609, -118.8375937)"
""Gilmore Girls" (2000) {I Solemnly Swear","#3.11)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {I'd Rather Be in Philadelphia","#7.13)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {I'm a Kayak, Hear Me Roar","#7.15)","Los Angeles, California, USA","(34.0536909, -118.242766)"
""Gilmore Girls" (2000) {In the Clamor and the Clangor","#4.11)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Introducing Lorelai Planetarium","#7.8)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {It's Just Like Riding a Bike","#7.19)","Los Angeles, California, USA","(34.0536909, -118.242766)"
""Gilmore Girls" (2000) {Jews and Chinese Food","#5.15)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Just Like Gwen and Gavin","#6.12)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Kill Me Now","#1.3)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Knit, People, Knit!","#7.9)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Last Week Fights, This Week Tights","#4.21)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Let Me Hear Your Balalaikas Ringing Out","#6.8)","Universal City, California, USA","(34.1419417, -118.3584459)"
""Gilmore Girls" (2000) {Like Mother, Like Daughter","#2.7)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Lorelai Out of Water","#3.12)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Lorelai's Graduation Day","#2.21)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Lorelai? Lorelai?","#7.20)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Love and War and Snow","#1.8)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Love, Daisies and Troubadours","#1.21)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Merry Fisticuffs","#7.10)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Nag Hammadi Is Where They Found the Gnostic Gospel","#4.13)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Nick & Nora/Sid & Nancy","#2.5)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Norman Mailer, I'm Pregnant!","#5.6)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {P.S. I Lo...","#1.20)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Partings","#6.22)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Pilot","#1.1)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Presenting Lorelai Gilmore","#2.6)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Raincoats and Recipes","#4.22)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Red Light on the Wedding Night","#2.3)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Rory's Birthday Parties","#1.6)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Rory's Dance","#1.9)","(school dance)","(48.3640452, 0.7581982)"
""Gilmore Girls" (2000) {Sadie, Sadie","#2.1)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Santa's Secret Stuff","#7.11)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Say Goodnight, Gracie","#3.20)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Say Something","#5.14)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Scene in a Mall","#4.15)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {So... Good Talk","#5.16)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Super Cool Party People","#6.20)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Swan Song","#3.14)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Teach Me Tonight","#2.19)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Ted Koppel's Big Night Out","#4.9)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {That'll Do, Pig","#3.10)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {That's What You Get, Folks, for Makin' Whoopee","#7.2)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {The Big One","#3.16)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {The Breakup: Part 2","#1.17)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {The Festival of Living Art","#4.7)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {The Fundamental Things Apply","#4.5)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {The Hobbit, the Sofa, and Digger Stiles","#4.3)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {The Incredible Sinking Lorelais","#4.14)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {The Long Morrow","#7.1)","Burbank, California, USA","(34.1816482, -118.3258554)"
""Gilmore Girls" (2000) {The Lorelais' First Day at Chilton","#1.2)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {The Lorelais' First Day at Yale","#4.2)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {The Party's Over","#5.8)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {The Perfect Dress","#6.11)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {The Prodigal Daughter Returns","#6.9)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {The Reigning Lorelai","#4.16)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {The Road Trip to Harvard","#2.4)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {The UnGraduate","#6.3)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {There's the Rub","#2.16)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Those Are Strings, Pinocchio","#3.22)","Beverly Hills, California, USA","(34.0696501, -118.3963062)"
""Gilmore Girls" (2000) {Those Lazy-Hazy-Crazy Days","#3.1)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Tick, Tick, Tick, Boom!","#4.18)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Tippecanoe and Taylor, Too","#5.4)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {To Whom It May Concern","#7.12)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Twenty-One Is the Loneliest Number","#6.7)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Unto the Breach","#7.21)","(Yale exterior for parents weekend and graduation)","None"
""Gilmore Girls" (2000) {We've Got Magic to Do","#6.5)","Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Wedding Bell Blues","#5.13)","Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Will You Be My Lorelai Gilmore?","#7.16)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {Women of Questionable Morals","#5.11)","Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Gilmore Girls" (2000) {You Jump, I Jump, Jack","#5.7)","Los Angeles, California, USA","(34.0536909, -118.242766)"
""Gilmore Girls" (2000) {You've Been Gilmored","#6.14)","Midwest Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","(34.149695, -118.34172)"
""Girlfriends" (2000) {...With a Twist","#5.22)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {A Little Romance","#3.10)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {All God's Children","#6.11)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {Bad Timing","#1.14)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {Can't Stan Ya!","#2.15)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {Don't Leave Me a Loan","#3.5)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {Fits & Starts","#6.1)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {Good Catch or a Bad Hop?","#4.15)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {He Had a Dream","#7.9)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {Howdy Partner","#3.13)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {I'll Be There for You... But Not Right Now","#6.17)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {Into the Woods","#2.22)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {Judging Edward","#6.5)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {Kids Say the Darndest Things","#5.18)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {Love Thy Neighbor","#4.22)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {My Business, Not Your Business","#6.10)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {Oh, Hell Yes: The Seminar","#6.15)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {Party Over Here","#6.21)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {Runaway Bridesmaid","#3.18)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {Single Mama, Drama","#3.14)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {Spree to Be Free","#8.6)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {The Bridges of Fresno County","#5.20)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {The Importance of Being Frank","#1.11)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {The Music in Me","#6.12)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {They Gotta Have It","#1.13)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {Trial and Errors","#6.7)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {When Hearts Attack","#5.8)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {Willie or Won't He","#2.6)","(studio)","(52.2326368, 21.0067376)"
""Girlfriends" (2000) {You Better Watch Out","#2.11)","(studio)","(52.2326368, 21.0067376)"
""Global Nomad: Middle East"","2000","Turkey","(38.9597594, 34.9249653)"
""Glut unter der Asche"","2000","New Orleans, Louisiana, USA","(29.9759983, -90.0782127)"
""Grass Roots"","2000","Burwood, Sydney, New South Wales, Australia","(-33.8784753, 151.104049)"
""Great Streets" (2000) {Edinburgh's Royal","ile","Edinburgh, Scotland, UK","(55.9533456, -3.1883749)"
""Great Writers, Great Cities" (2000) {Carl Hiaasen: From Miami to Key","est","Key West, Florida Keys, Florida, USA","(24.66709, -81.58314)"
""Great Writers, Great Cities" (2000) {Paco Taibo's Mexico","ity","Mexico City, Distrito Federal, Mexico","(19.2667063, -99.1269596)"
""Grosse Pointe"","2000","Los Angeles, California, USA","(34.0536909, -118.242766)"
""Grosse Pointe" (2000) {Opposite of Sex","#1.15)","Los Angeles, California, USA","(34.0536909, -118.242766)"
""Grosse Pointe" (2000) {Secrets & Lies","#1.13)","Los Angeles, California, USA","(34.0536909, -118.242766)"
""Guten Abend RTL" (2000) {Robin Hood in","ordhessen","Ehlen, Habichtswald, Hessen, Germany","(51.3233249, 9.3103277)"
""Ha-Burganim"","2000","Tel Aviv, Israel","(32.0852997, 34.7818064)"
""Hasta en las mejores familias"","2000","Mexico","(23.6585116, -102.0077097)"
""Hayat baglari"","2000","Istanbul, Turkey","(41.0091982, 28.9662187)"
""Heart Talks"","2000","(location)","(39.2138905, -79.6371124)"
""HerrenhÃ¤user in Schleswig-Holstein" (2000) {Die groÃen Familien","#1.1)","Gut Damp, Damp, Schleswig-Holstein, Germany","(54.5784172, 9.9842869)"
""HerrenhÃ¤user in Schleswig-Holstein" (2000) {Von Burgen und PalÃ¤sten","#1.2)","Sieseby, Thumby, Schleswig-Holstein, Germany","(54.5940186, 9.8612551)"
""HerrenhÃ¤user in Schleswig-Holstein" (2000) {Von WÃ¼rde und BÃ¼rde","#1.5)","Gut Hasselburg, Hasselburg, Altenkrempe, Schleswig-Holstein, Germany","(54.13333, 10.83333)"
""Historier fra verden"","2000","(episode 1.3 "Ghana: Livtag med dÃ¸den")","None"
""Historier fra verden"","2000","(episode 1.1 "Yemen: VÃ¥ben og poesi")","None"
""History" (2000) {Deutsche Reporter an der","ront","Khazar, Dahuk, Iraq","(36.883611, 42.631111)"
""History" (2000) {Deutsche Reporter an der","ront","Sarajevo, Bosnia-Herzegovina","(43.8519774, 18.3866868)"
""History" (2000) {Deutschland 1945 von","ben","Cologne, North Rhine-Westphalia, Germany","(50.938361, 6.959974)"
""History" (2000) {Hitler, wie ich ihn sah - Die Fotografen des","iktators","Dachau, Bavaria, Germany","(48.2592477, 11.4354419)"
""History" (2000) {Hitler, wie ich ihn sah - Die Fotografen des","iktators","Minsk, Belarus","(53.9024716, 27.5618225)"
""History" (2000) {Schindlers Liste - Eine wahre","eschichte","Brnenec, Czech Republic","(49.6311974, 16.5199285)"
""History" (2000) {Ãberlebt - wie durch ein","under","Georgswerder, Hamburg, Germany","(53.5017484, 10.0446645)"
""History" (2000) {Ãberlebt - wie durch ein","under","Ramstein Air Base, Ramstein-Miesenbach, Rhineland-Palatinate, Germany","(49.441426, 7.6012401)"
""Hollywood Off-Ramp"","2000","Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
""Hometown High-Q"","2000","Pittsburgh, Pennsylvania, USA","(40.4416941, -79.9900861)"
""Hospital Central" (2000) {Correr tras el viento","#10.14)","Quiroga, Lugo, Galicia, Spain","(42.4751472, -7.2697796)"
""Hotelli Sointu"","2000","(studio) (2001)","(46.9920613, 6.9329617)"
""I Spike"","2000","Los Angeles, California, USA","(34.0536909, -118.242766)"
""Ilusiones (compartidas)"","2000","Buenos Aires, Federal District, Argentina","(-34.61315, -58.37723)"
""Ilusiones (compartidas)" (2000)","(#1.103)","Buenos Aires, Federal District, Argentina","(-34.61315, -58.37723)"
""Ilusiones (compartidas)" (2000)","(#1.109)","Buenos Aires, Federal District, Argentina","(-34.61315, -58.37723)"
